ticker,insider_name,relationship,transaction_date,transaction_type,price,shares,value,shares_total,sec_form4,tags,ownership_pct
KYN,Baker James C,President,2025-07-21,Buy,12.31,25000,"307,750","811,040",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1293613/000163839725000023/xslF345X05/primary_doc.xml,"['🎖️ President', '🟢 SMALL TRADE', '🌿 MID CAP']",0.000149
RCG,STAHL MURRAY,President/Co-Portfolio Manager,2025-07-21,Buy,2.65,356,943,"96,410",https://finviz.com/http://www.sec.gov/Archives/edgar/data/919567/000143774925023174/xslF345X05/rdgdoc.xml,"['🎖️ President', '🐣 MICRO CAP']",5.2e-05
UNOV,Saumat Giorgio R.,CEO,2025-07-21,Buy,0.2,100000,"20,000","122,880,127",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1538495/000164117225020416/xslF345X05/ownership.xml,"['👑 CEO', '❓ UNKNOWN SIZE', '❓ UNKNOWN SIZE']",
DLPN,O'Dowd William IV,Chief Executive Officer,2025-07-21,Buy,1.19,4150,"4,943","252,129",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1282224/000107997325001168/xslF345X05/ownership.xml,"['👑 CEO', '🟢 SMALL TRADE', '🐣 MICRO CAP']",0.000345
CALC,Leheny A. Rachel,CHIEF EXECUTIVE OFFICER,2025-07-21,Buy,3.4,1000,"3,400","3,500",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1484729/000141588925020052/xslF345X05/form4-07212025_060739.xml,"['👑 CEO', '🐣 MICRO CAP']",6.4e-05
GALT,ELDRED KARY,Director,2025-07-21,Buy,2.92,1000,"2,925","64,682",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1133416/000113341625000035/xslF345X05/form4.xml,"['📋 Director', '🐣 MICRO CAP']",1.5e-05
CTAS,MUCCI MARTIN,Director,2025-07-21,Buy,222.55,1200,"267,060","2,621",https://finviz.com/http://www.sec.gov/Archives/edgar/data/723254/000089225125000078/xslF345X05/form4.xml,"['📋 Director', '🌳 LARGE CAP']",3e-06
RCG,STAHL MURRAY,President/Co-Portfolio Manager,2025-07-21,Buy,2.65,774,"2,051","314,886",https://finviz.com/http://www.sec.gov/Archives/edgar/data/919567/000143774925023174/xslF345X05/rdgdoc.xml,"['🎖️ President', '🟢 SMALL TRADE', '🐣 MICRO CAP']",0.000112
ASAN,Moskovitz Dustin A.,Director,2025-07-21,Buy,14.91,225000,"3,354,975","53,955,999",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1477720/000147772025000158/xslF345X05/wk-form4_1753307038.xml,"['📋 Director', '🟢 SMALL TRADE', '🌿 MID CAP']",0.000957
SHEN,"ECP ControlCo, LLC",10% Owner,2025-07-21,Buy,15.02,16467,"247,364","2,939,977",https://finviz.com/http://www.sec.gov/Archives/edgar/data/354963/000164117225020704/xslF345X05/ownership.xml,"['🔟 10% Owner', '🟢 SMALL TRADE', '🌱 SMALL CAP']",0.0003
RVP,SHAW THOMAS J,PRESIDENT AND CEO,2025-07-21,Buy,0.66,5000,"3,300","15,464,130",https://finviz.com/http://www.sec.gov/Archives/edgar/data/946563/000141588925020109/xslF345X05/form4-07222025_030723.xml,"['👑 CEO', '🟢 SMALL TRADE', '🐣 MICRO CAP']",0.000152
SHEN,"ECP Fiber Holdings GP, LLC",10% Owner,2025-07-21,Buy,15.02,16467,"247,364","2,939,977",https://finviz.com/http://www.sec.gov/Archives/edgar/data/354963/000164117225020703/xslF345X05/ownership.xml,"['🔟 10% Owner', '🟢 SMALL TRADE', '🌱 SMALL CAP']",0.0003
XAIR,Lisi Steven A.,CEO and Chairman of the Board,2025-07-21,Buy,3.25,6000,"19,491","3,327,411",https://finviz.com/http://www.sec.gov/Archives/edgar/data/1641631/000164117225020696/xslF345X05/ownership.xml,"['👑 CEO', '💰 LARGE TRADE', '🐣 MICRO CAP']",0.001313
